case	variant	repeat	task_duration_us	output_sha256	profile
prefill_rope	vmi_fused	3	74.227	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_fused-3
prefill_rope	vmi_fused	4	73.327	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_fused-4
prefill_rope	vmi_fused	5	74.089	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_fused-5
decode_rmsnorm	ordinary	1	29.730	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/ordinary-1
decode_rmsnorm	ordinary	2	29.489	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/ordinary-2
decode_rmsnorm	ordinary	3	29.696	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/ordinary-3
decode_rmsnorm	ordinary	4	29.442	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/ordinary-4
decode_rmsnorm	ordinary	5	29.918	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/ordinary-5
decode_rmsnorm	vmi_candidate	1	26.954	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_candidate-1
decode_rmsnorm	vmi_candidate	2	26.622	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_candidate-2
decode_rmsnorm	vmi_candidate	3	26.777	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_candidate-3
decode_rmsnorm	vmi_candidate	4	26.147	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_candidate-4
decode_rmsnorm	vmi_candidate	5	27.203	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_candidate-5
decode_rmsnorm	vmi_loop	1	32.429	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_loop-1
decode_rmsnorm	vmi_loop	2	31.407	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_loop-2
decode_rmsnorm	vmi_loop	3	31.518	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_loop-3
decode_rmsnorm	vmi_loop	4	31.545	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_loop-4
decode_rmsnorm	vmi_loop	5	31.798	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_loop-5
decode_rmsnorm	vmi_fused	1	25.759	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_fused-1
decode_rmsnorm	vmi_fused	2	25.906	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_fused-2
decode_rmsnorm	vmi_fused	3	26.253	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_fused-3
decode_rmsnorm	vmi_fused	4	24.993	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_fused-4
decode_rmsnorm	vmi_fused	5	26.070	37dff1b4fb730b4cce90b06d1f128a4a77e9236e8677b65c7cb4f98c239a960c	${RESULT_ROOT}/decode_rmsnorm/profiles/vmi_fused-5
